,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
315407,3,3,0.04,North Brunswick,New Jersey,8902,1420,2006-01-12,347999
315410,3,2,0.14,Milltown,New Jersey,8850,1512,2002-09-26,350000
315415,3,4,0.02,North Brunswick,New Jersey,8902,2240,2018-10-01,549900
315417,4,3,0.14,Iselin,New Jersey,8830,1740,2006-04-28,420000
315418,4,4,1.75,Princeton,New Jersey,8540,2608,2006-09-19,765000
315420,5,4,0.96,North Brunswick,New Jersey,8902,3256,,679900
315422,3,3,0.22,East Brunswick,New Jersey,8816,1835,2014-09-04,480000
315424,3,2,0.14,Milltown,New Jersey,8850,1386,2013-05-03,350000
315426,5,2,0.13,Staten Island,New York,10303,1484,1995-10-06,599000
315430,6,5,2.0,South Brunswick,New Jersey,8852,5920,2013-11-22,1500000
315433,4,3,0.36,Franklin Twp,New Jersey,8873,1980,2003-04-10,495000
315439,3,2,0.15,Iselin,New Jersey,8830,997,2006-07-14,415000
315447,4,2,0.14,Edison,New Jersey,8817,1000,2021-02-26,399000
315454,3,3,0.06,North Brunswick,New Jersey,8902,1570,2019-11-22,349900
315455,2,2,0.06,Perth Amboy,New Jersey,8861,1218,2017-01-03,320000
315465,5,4,0.12,South River,New Jersey,8882,2448,2000-03-30,570000
315466,4,3,0.18,Piscataway,New Jersey,8854,1910,2006-08-14,539000
315473,2,3,0.01,New Brunswick,New Jersey,8901,1331,,474000
315474,1,1,0.5,North Brunswick,New Jersey,8902,942,2000-05-04,150000
315476,2,1,0.17,East Brunswick,New Jersey,8816,1462,,359900
315482,3,1,0.22,Iselin,New Jersey,8830,676,1998-08-07,400000
315495,3,1,0.11,New Brunswick,New Jersey,8901,1056,,259000
315498,3,2,0.09,Metuchen,New Jersey,8840,1424,2004-12-02,439900
315499,3,3,0.08,Princeton,New Jersey,8540,2010,2005-03-24,598000
315504,5,4,0.18,Iselin,New Jersey,8830,2978,2020-03-10,769900
315507,4,3,0.34,East Brunswick,New Jersey,8816,2405,2014-05-28,669900
